Product,MRP,Sales_Price,Rating,Features
"Motorola G85 5G (Olive Green, 128 GB)  (8 GB RAM)",,,4.4,8 GB RAM | 128 GB ROM
"Motorola G85 5G (Cobalt Blue, 256 GB)  (12 GB RAM)",,,4.4,12 GB RAM | 256 GB ROM
"realme P2 Pro 5G (Eagle Grey, 128 GB)  (8 GB RAM)","₹25,999","₹19,999",4.4,8 GB RAM | 128 GB ROM
"Motorola G85 5G (Cobalt Blue, 128 GB)  (8 GB RAM)","₹20,999","₹17,999",4.4,8 GB RAM | 128 GB ROM
"REDMI Note-13 Pro 5G (Scarlet Red, 256 GB)  (8 GB RAM)",,,4.7,8 GB RAM | 256 GB ROM
"realme P2 Pro 5G (Eagle Grey, 256 GB)  (12 GB RAM)","₹27,999","₹19,999",4.4,12 GB RAM | 256 GB ROM
"Motorola G85 5G (Olive Green, 256 GB)  (12 GB RAM)","₹22,999","₹19,999",4.4,12 GB RAM | 256 GB ROM
"realme P1 5G (Phoenix Red, 256 GB)  (8 GB RAM)","₹22,999","₹16,999",4.4,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)  (8 GB RAM)","₹19,999","₹15,778",4.4,8 GB RAM | 128 GB ROM
"Motorola G85 5G (Viva Magenta, 128 GB)  (8 GB RAM)",,,4.4,8 GB RAM | 128 GB ROM
"POCO X6 Pro 5G (Yellow, 256 GB)  (8 GB RAM)","₹30,999","₹18,999",4.3,8 GB RAM | 256 GB ROM
"vivo T3 5G (Crystal Flake, 128 GB)  (8 GB RAM)",,,4.4,8 GB RAM | 128 GB ROM
"Motorola g64 5G (Mint Green, 256 GB)  (12 GB RAM)",,,4.2,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)  (8 GB RAM)","₹20,999","₹17,402",4.4,8 GB RAM | 128 GB ROM
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)  (8 GB RAM)",,,4.4,8 GB RAM | 128 GB ROM
"Motorola G85 5G (Viva Magenta, 256 GB)  (12 GB RAM)","₹22,999","₹19,999",4.4,12 GB RAM | 256 GB ROM
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)  (8 GB RAM)",,,4.4,8 GB RAM | 128 GB ROM
"Motorola g64 5G (Pearl Blue, 256 GB)  (12 GB RAM)",,,4.2,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB
"vivo T3 5G (Cosmic Blue, 128 GB)  (8 GB RAM)","₹22,999","₹18,499",4.4,8 GB RAM | 128 GB ROM
"Motorola G85 5G (Urban Grey, 256 GB)  (12 GB RAM)","₹22,999","₹19,999",4.4,12 GB RAM | 256 GB ROM
"realme P2 Pro 5G (Parrot Green, 128 GB)  (8 GB RAM)","₹25,999","₹19,999",4.4,8 GB RAM | 128 GB ROM
"realme P1 5G (Feather Blue, 256 GB)  (8 GB RAM)",,,4.4,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB
"Motorola G85 5G (Urban Grey, 128 GB)  (8 GB RAM)","₹20,999","₹17,999",4.4,8 GB RAM | 128 GB ROM
"REDMI Note 13 5G (Chromatic Purple, 256 GB)  (8 GB RAM)",,,4.2,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB
